민원ID,접수일,부서,민원유형,행정동,접수채널,연령대,처리상태,처리일,처리일수,만족도,재민원여부,민원인연락처,민원내용요약
C00658,2026년 07월 28일,도로교통과,가로등 고장,바다동,국민신문고,60대 이상,완료,2026년 08월 07일,10,,Y,010-9885-8429,야간 점등 불량
C00594,2026.06.16,도로교통과,도로파손,새벽동,국민신문고,50대,완료,2026.06.26,10,,N,010-9412-4338,포트홀 발생
C00707,2026년 08월 22일,주민생활지원과,기타,마루동,홈페이지,50대,완료,2026년 08월 26일,4,4,N,010-3855-7889,기타 건의
C00305,2026-01-26,,가로등 고장,나래동,방문,60대 이상,완료,2026-01-31,5,4,N,010-7692-7458,야간 점등 불량
C00219,2025-12-24,환경관리과,소음,다솜동,전화,20대 이하,완료,2026-01-03,10,4,N,010-9108-2810,야간 공사 소음
C00238,2025년 12월 13일,환경관리과,소음,나래동,전화,30대,완료,2025년 12월 23일,10,,N,010-3501-4897,야간 공사 소음
C00407,2026-03-31,도로교통과,가로등 고장,라온동,전화,60대 이상,완료,2026-04-06,6,3,N,010-2588-8330,야간 점등 불량
C00193,2025-12-28,도로교통과,가로등 고장,가온동,앱,50대,완료,2026-01-07,10,,N,010-7264-5022,야간 점등 불량
C00149,2025-11-09,청소행정과,쓰레기 무단투기,가온동,국민신문고,30대,완료,2025-11-23,14,,N,010-6197-5036,상습 투기 지점 방치
C00495,2026/04/06,도로교통과,불법주정차,새벽동,전화,20대 이하,완료,2026/04/10,4,,N,010-6284-8610,이면도로 상시 주차
C00685,2026.07.31,환경관리과,공원 관리,마루동,전화,60대 이상,완료,2026.08.05,5,3,Y,010-7804-7253,시설물 파손
C00493,2026-04-11,청소행정과,쓰레기 무단투기,마루동,앱,50대,처리중,,,,N,010-8857-1480,상습 투기 지점 방치
C00609,2026년 06월 16일,도로교통과,도로파손,라온동,전화,30대,완 료,2026년 06월 20일,4,4,N,010-3036-2431,포트홀 발생
C00198,2025-12-02,환경관리과,공원 관리,새벽동,국민신문고,40대,완료,2025-12-11,9,4,N,010-8753-3302,시설물 파손
C00429,2026-03-08,도로교통과,불법주정차,나래동,홈페이지,60대 이상,완료,2026-03-13,5,,N,010-5032-6934,이면도로 상시 주차
C00310,2026-02-10,환경관리과,소음,나래동,방문,50대,완료,2026-02-19,9,,N,010-5221-5419,야간 공사 소음
C00760,2026-08-14,도로교통과, 불법주정차 ,가온동,전화,50대,완료,2026-08-30,16,3,N,010-7580-7256,이면도로 상시 주차
C00158,2025-11-17,도로교통과,불법주정차,마루동,홈페이지,40대,완료,2025-11-20,3,,N,010-4590-8992,이면도로 상시 주차
C00644,2026년 07월 24일,주민생활지원과,기타,다솜동,국민신문고,40대,완료,2026년 07월 27일,3,5,N,010-4422-3968,기타 건의
C00233,2025-12-28,복지정책과,복지 상담,나래동,전화,50대,완료,2025-12-31,3,5,N,010-7546-4609,지원금 신청 문의
C00737,2026-08-23,복지정책과,복지 상담,가온동,홈페이지,60대 이상,완료,2026-09-01,9,,N,010-9773-4465,지원금 신청 문의
C00007,2025년 09월 24일,도로교통과,불법주정차,가온동,홈페이지,40대,완료,2025년 09월 29일,5,,N,010-8395-4825,이면도로 상시 주차
C00030,2025-09-18,도로교통과,가로등 고장,새벽동,앱,50대,처리중,,,,N,010-6130-4256,야간 점등 불량
C00464,2026-04-08,청소행정과,쓰레기 무단투기,바다동,방문,50대,완료,2026-04-16,8,,N,010-2326-2021,상습 투기 지점 방치
C00545,2026.05.06,청소행정과,쓰레기 무단투기,가온동,국민신문고,40대,완료,2026.05.25,19,3,N,010-2102-6609,상습 투기 지점 방치
C00532,2026년 05월 08일,,복지 상담,마루동,앱,40대,완료,2026년 05월 11일,3,,Y,010-8638-1430,지원금 신청 문의
C00393,2026-03-08,환경관리과,소음,마루동,국민신문고,50대,완료,2026-03-17,9,,N,010-6681-6785,야간 공사 소음
C00054,2025/09/03,환경관리과,악취,새벽동,전화,50대,완료,2025/09/11,8,4,N,010-8587-2942,음식물 쓰레기 악취
C00048,2025.09.12,환경관리과,공원 관리,마루동,국민신문고,40대,완료,2025.09.19,7,5,N,010-5019-4071,시설물 파손
C00410,2026-03-13,도로교통과,가로등 고장,,방문,60대 이상,완료,2026-03-22,9,4,N,010-9486-1347,야간 점등 불량
C00167,2025.11.03,도로교통과,도로파손,마루동,국민신문고,40대,완료,2025.11.10,7,5,N,010-5784-5369,포트홀 발생
C00124,2025/11/06,복지정책과,복지 상담,새벽동,방문,40대,완료,2025/11/07,1,4,N,010-7629-4903,지원금 신청 문의
C00032,2025-09-04,도로교통과,도로파손,라온동,국민신문고,50대,완료,2025-09-08,4,5,N,010-9113-1505,포트홀 발생
C00074,2025-10-24,청소행정과,쓰레기 무단투기,다솜동,국민신문고,20대 이하,완료,2025-10-26,2,,N,010-8194-5395,상습 투기 지점 방치
C00680,2026-07-19,도로교통과,도로파손,라온동,앱,60대 이상,완료,2026-07-24,5,5,N,010-2529-3242,포트홀 발생
C00138,2025/11/27,환경관리과,소음,나래동,앱,30대,완료,2025/12/02,5,4,N,010-9809-8963,야간 공사 소음
C00454,2026.04.25,건축과,건축 인허가,가온동,국민신문고,40대,완료,2026.05.12,17,2,N,010-5433-7281,허가 처리 지연 문의
C00226,2025-12-10,복지정책과,복지 상담,바다동,전화,40대,완료,2025-12-13,3,5,N,010-7705-9643,지원금 신청 문의
C00130,2025-11-26,건축과,건축 인허가,나래동,전화,40대,완료,2025-12-06,10,,N,010-4112-6957,허가 처리 지연 문의
C00226,2025-12-10,복지정책과,복지 상담,바다동,전화,40대,완료,2025-12-13,3,5,N,010-7705-9643,지원금 신청 문의
C00105,2025년 10월 12일,환경관리과,공원 관리,가온동,국민신문고,50대,처리중,,,,N,010-6239-3352,시설물 파손
C00261,2026-01-26,청소행정과,쓰레기 무단투기,라온동,전화,40대,완료,2026-01-31,5,5,N,010-4904-3281,상습 투기 지점 방치
C00615,2026.06.12,청소행정과,쓰레기 무단투기,가온동,홈페이지,40대,완료,2026.06.30,,,N,010-7194-1253,상습 투기 지점 방치
C00123,2025-10-27,청소행정과,쓰레기 무단투기,라온동,앱,50대,완료,2025-08-15,3,5,N,010-4896-2231,상습 투기 지점 방치
C00180,2025/11/19,도로교통과,도로파손,마루동,국민 신문고,20대 이하,완료,2025/11/20,-3,4,N,010-9766-4196,포트홀 발생
C91130,2026-06-11,환경관리과,공원 관리,,홈페이지,30대,완료,2026-06-15,4,,N,010-2996-2230,시설물 파손
C00145,2025/11/28,복지정책과, 복지 상담 ,라온동,전화,20대 이하,완료,2025/12/04,6,,N,010-7482-6924,지원금 신청 문의
C00085,2025-10-30,도로교통과,불법주정차,라온동,홈페이지,30대,처리중,,,,N,010-2484-5673,이면도로 상시 주차
C00606,2026-06-06,청소행정과, 쓰레기 무단투기 ,마루동,방문,40대,완료,2026-06-20,14,4,Y,010-4558-8159,상습 투기 지점 방치
C00153,2025.11.05,환경관리과,소음,새벽동,홈페이지,50대,완료,2025.11.06,1,,N,010-7817-8858,야간 공사 소음
C00654,2026-07-16,환경관리과,악취,바다동,전화,60대 이상,완료,2026-07-19,3,,N,010-6599-7159,음식물 쓰레기 악취
C00515,2026-05-22,복지정책과,복지 상담,마루동,전화,60대 이상,완료,2026-05-23,1,4,N,010-9097-9170,지원금 신청 문의
C00280,2026년 01월 03일,도로교통과,가로등 고장,마루동,국민신문고,20대 이하,완료,2026년 01월 15일,12,4,N,010-2321-4254,야간 점등 불량
C00524,2026.05.09,도로교통과,가로등 고장,새벽동,앱,30대,처리중,,,,N,010-9596-6411,야간 점등 불량
C00289,2026-01-22,환경관리과,악취,라온동,앱,50대,보류,,,,N,010-4612-9176,음식물 쓰레기 악취
C00343,2026년 02월 26일,도로교통과,불법주정차,라온동,전화,20대 이하,완료,2026년 03월 06일,8,,N,010-3319-9689,이면도로 상시 주차
C00504,2026년 05월 27일,도로교통과,도로파손,라온동,전화,50대,완료,2026년 05월 29일,2,,N,010-2489-5798,포트홀 발생
C00460,2026/04/17,주민생활지원과,기타,가온동,전화,50대,완료,2026/04/28,11,3,N,010-7185-6671,기타 건의
C00728,2026년 08월 17일,환경관리과,악취,바다동,국민신문고,20대 이하,처리중,,,,N,010-8605-6326,음식물 쓰레기 악취
C00756,2026년 08월 08일,도로교통과,불법주정차,가온동,전화,50대,완료,2026년 08월 25일,17,3,N,010-3929-9871,이면도로 상시 주차
C00670,2026/07/15,청소행정과,쓰레기 무단투기,가온동,전화,20대 이하,완료,2026/07/24,9,4,N,010-7846-1163,상습 투기 지점 방치
C00579,2026/06/26,환경관리과,공원 관리,마루동,국민신문고,30대,완료,2026/07/07,11,,N,010-6610-4218,시설물 파손
C00285,2026/01/22,도로교통과,도로파손,새벽동,국민신문고,50대,완료,2026/02/04,13,3,N,010-4200-3987,포트홀 발생
C00618,2026-06-17,주민생활지원과,기타,다솜동,홈페이지,20대 이하,완료,2026-06-25,8,,N,010-5947-2064,기타 건의
C00065,2025-10-11,,기타,바다동,전화,60대 이상,완료,2025-10-21,10,2,Y,010-6820-9914,기타 건의
C00560,2026년 05월 22일,환경관리과,악취,바다동,국민신문고,50대,완료,2026년 05월 31일,0,3,Y,010-2628-6996,음식물 쓰레기 악취
C00451,2026-04-07,환경관리과,소음,다솜동,앱,50대,완료,2026-04-10,3,,N,010-3823-5767,야간 공사 소음
C00687,2026-07-17,도로교통과,불법주정차,바다동,국민신문고,30대,완료,2026-07-24,7,,N,010-9056-3597,이면도로 상시 주차
C00302,2026-01-18,도로교통과,도로파손,바다동,전화,30대,완료,2026-01-26,8,4,N,010-2173-8596,포트홀 발생
C00422,2026-03-20,도로교통과,불법주정차,가온동,홈페이지,50대,완료,2026-03-31,11,3,N,010-3364-2766,이면도로 상시 주차
C00230,2025.12.02,환경관리과,공원 관리,나래동,전화,40대,완료,2025-08-15,1,,Y,010-3309-5377,시설물 파손
C00106,2025-10-13,환경관리과,악취,가온동,국민신문고,40대,완료,2025-10-16,3,,Y,010-6652-1194,음식물 쓰레기 악취
C00248,2026-01-02,환경관리과,공원 관리,마루동,앱,40대,완료,2026-01-09,7,4,N,010-9109-7429,시설물 파손
C00621,2026/06/15,건축과,건축 인허가,라온동,앱,40대,완료,2026/07/03,18,3,Y,010-9490-2730,허가 처리 지연 문의
C00041,2025.09.11,환경관리과,소음,라온동,국민신문고,50대,완료,2025.09.22,11,,N,010-2304-3576,야간 공사 소음
C00199,2025-12-22,주민생활지원과,기타,마루동,앱,30대,보류,,,,N,010-8819-4888,기타 건의
C97212,2026.02.12,청소행정과,쓰레기 무단투기,바다동,국민신문고,20대 이하,완료,2026.02.13,1,5,N,010-3728-6700,상습 투기 지점 방치
C00413,2026년 03월 14일,청소행정과,쓰레기 무단투기,,방문,20대 이하,완료,2026년 03월 25일,11,,N,010-6383-3229,상습 투기 지점 방치
C00042,2025년 09월 26일,도로교통과,가로등 고장,다솜동,국민신문고,40대,완료,2025년 09월 30일,4,4,N,010-3057-9186,야간 점등 불량
C00093,2025-10-23,건축과,건축 인허가,라온동,앱,30대,완료,2025-10-24,1,5,N,010-8575-1661,허가 처리 지연 문의
C00103,2025/10/26,환경관리과,소음,바다동,국민신문고,40대,완료,2025/11/05,10,,N,010-5321-2350,야간 공사 소음
C00394,2026-03-14,주민생활지원과,기타,다솜동,앱,20대 이하,완료,2026-03-27,13,3,N,010-3269-8486,기타 건의
C00057,2025-09-19,도로교통과,가로등 고장,다솜동,홈페이지,30대,보류,,,,N,010-5705-3339,야간 점등 불량
C00540,2026-05-13,건축과,건축 인허가,바다동,국민신문고,30대,완료,2026-05-31,18,,N,010-2754-5696,허가 처리 지연 문의
C00475,2026.04.05,건축과,건축 인허가,다솜동,국민신문고,50대,완료,2026.04.20,15,3,N,010-9068-9331,허가 처리 지연 문의
C00114,2025-10-21,청소행정과,쓰레기 무단투기,바다동,앱,50대,완료,2025-10-27,6,3,N,010-2049-5758,상습 투기 지점 방치
C00209,2025.12.24,복지정책과,복지 상담,새벽동,국민신문고,50대,완료,2025.12.30,6,,Y,010-8473-9607,지원금 신청 문의
C00484,2026-04-12,환경관리과,악취,라온동,홈페이지,40대,완료,2026-04-20,8,4,N,010-2659-2653,음식물 쓰레기 악취
C00257,2026/01/21,주민생활지원과,기타,마루동,앱,20대 이하,완료,2026/01/27,6,,N,010-8657-2158,기타 건의
C00115,2025-10-24,도로교통과,가로등 고장,바다동,방문,50대,완료,2025-11-01,8,,N,010-8876-2431,야간 점등 불량
C00269,2026-01-23,건축과,건축 인허가,다솜동,국민신문고,30대,완료,2026-02-12,20,,N,010-8396-1001,허가 처리 지연 문의
C00320,2026/02/13,도로교통과,도로파손,다솜동,국민신문고,20대 이하,완료,2026/02/18,5,,N,010-5837-8492,포트홀 발생
C00047,2025/09/25,청소행정과,쓰레기 무단투기,새벽동,전화,60대 이상,완료,2025/10/06,11,2,N,010-9233-6759,상습 투기 지점 방치
C00063,2025년 10월 06일,도로교통과,불법주정차,다솜동,국민신문고,50대,완료,2025년 10월 09일,3,,N,010-8362-4684,이면도로 상시 주차
C00241,2025-12-14,건축과,건축 인허가,마루동,국민 신문고,20대 이하,완료,2025-12-15,1,5,N,010-5112-6171,허가 처리 지연 문의
C00467,2026/04/17,건축과,건축 인허가,나래동,홈페이지,60대 이상,완료,2026/04/30,13,,N,010-6598-7392,허가 처리 지연 문의
C00585,2026-06-04,도로교통과, 가로등 고장 ,가온동,앱,30대,완료,2026-06-20,16,3,N,010-2607-8890,야간 점등 불량
C00661,2026-07-18,청소행정과,쓰레기 무단투기,나래동,전화,50대,처리중,,,,N,010-3932-3128,상습 투기 지점 방치
C00019,2025/09/15,환경관리과,소음,바다동,전화,30대,완료,2025/09/24,9,3,N,010-7573-2854,야간 공사 소음
C00251,2026.01.07,환경관리과,악취,나래동,앱,30대,완료,2026.01.12,5,5,N,010-6765-7827,음식물 쓰레기 악취
C00751,2026-08-25,청소행정과,쓰레기 무단투기,바다동,전화,50대,완료,2026-08-27,2,,N,010-9796-1004,상습 투기 지점 방치
C00189,2025년 12월 24일,청소행정과,쓰레기 무단투기,다솜동,국민신문고,50대,완료,2026년 01월 02일,9,4,N,010-4358-5277,상습 투기 지점 방치
C00492,2026-04-09,도로교통과,불법주정차,바다동,앱,30대,완료,2026-04-10,1,4,N,010-8194-2303,이면도로 상시 주차
C00547,2026-05-26,청소행정과,쓰레기 무단투기,마루동,방문,40대,완료,2026-06-02,7,3,Y,010-2613-9351,상습 투기 지점 방치
C00001,2025-09-24,도로교통과,가로등 고장,다솜동,앱,60대 이상,보류,,,,N,010-7488-8745,야간 점등 불량
C00665,2026년 07월 08일,도로교통과,불법주정차,바다동,전화,60대 이상,완료,2026년 07월 14일,6,,N,010-4959-1353,이면도로 상시 주차
C00705,2026/08/29,청소행정과,쓰레기 무단투기,나래동,전화,50대,완료,2026/09/14,16,,N,010-5774-9775,상습 투기 지점 방치
C00693,2026년 07월 08일,주민생활지원과,기타,마루동,국민신문고,50대,완료,2026년 07월 11일,3,5,N,010-8431-1575,기타 건의
C00530,2026/05/24,청소행정과,쓰레기 무단투기,새벽동,국민신문고,40대,완료,2026/05/29,5,,N,010-8667-8743,상습 투기 지점 방치
C00694,2026-08-26,청소행정과,쓰레기 무단투기,,전화,40대,완료,2026-09-03,8,4,N,010-5488-5109,상습 투기 지점 방치
C00002,2025-09-30,환경관리과,소음,바다동,전화,30대,완료,2025-10-08,8,4,N,010-2878-2062,야간 공사 소음
C00039,2025-09-10,도로교통과,불법주정차,마루동,국민신문고,30대,완료,2025-09-22,12,4,N,010-4102-6218,이면도로 상시 주차
C00350,2026년 02월 10일,청소행정과,쓰레기 무단투기,가온동,전화,50대,완료,2026년 02월 22일,12,3,N,010-8510-2990,상습 투기 지점 방치
C00722,2026-08-09,도로교통과,가로등 고장,마루동,방문,40대,완료,2026-08-14,5,,N,010-7333-9972,야간 점등 불량
C00697,2026-08-04,건축과,건축 인허가,나래동,국민신문고,50대,완료,2026-08-30,26,2,N,010-6456-7125,허가 처리 지연 문의
C00449,2026-04-25,도로교통과,도로파손,마루동,국민신문고,40대,보류,,,,N,010-8745-1624,포트홀 발생
C00243,2025/12/03,주민생활지원과,기타,라온동,전화,40대,완료,2025/12/12,9,,Y,010-6949-3075,기타 건의
C00395,2026-03-12,환경관리과,소음,바다동,앱,20대 이하,완료,2026-03-17,5,4,N,010-3655-8888,야간 공사 소음
C00743,2026-08-03,도로교통과,가로등 고장,바다동,전화,60대 이상,보류,,,,N,010-5023-9428,야간 점등 불량
C00234,2025-12-01,환경관리과,소음,새벽동,방문,20대 이하,완료,2025-12-05,4,,N,010-8246-9017,야간 공사 소음
C00358,2026-02-18,도로교통과,가로등 고장,새벽동,국민신문고,50대,완료,2026-02-24,6,,Y,010-6685-5139,야간 점등 불량
C00469,2026년 04월 02일,도로교통과,불법주정차,나래동,전화,50대,완료,2026년 04월 05일,3,5,N,010-7538-1457,이면도로 상시 주차
C00691,2026/07/24,주민생활지원과,기타,새벽동,앱,30대,완료,2026/07/29,5,4,N,010-5039-2035,기타 건의
C00091,2025년 10월 01일,도로교통과,가로등 고장,가온동,국민신문고,60대 이상,완료,2025년 10월 12일,11,,N,010-5300-4209,야간 점등 불량
C00711,2026-08-09,복지정책과,복지 상담,다솜동,국민신문고,50대,완료,2026-08-13,4,5,N,010-6616-3462,지원금 신청 문의
C00072,2025-10-20,도로교통과,가로등 고장,마루동,앱,30대,완료,2025-10-26,6,5,Y,010-7018-9470,야간 점등 불량
C00740,2026/08/18,청소행정과,쓰레기 무단투기,가온동,국민신문고,60대 이상,보류,,,,N,010-3323-8244,상습 투기 지점 방치
C00299,2026/01/10,도로교통과,도로파손,가온동,전화,60대 이상,완료,2026/01/21,11,4,N,010-2906-3496,포트홀 발생
C00736,2026-08-01,청소행정과, 쓰레기 무단투기 ,나래동,국민신문고,40대,완료,2026-08-09,8,,N,010-3411-8891,상습 투기 지점 방치
C00349,2026.02.17,주민생활지원과,기타,다솜동,홈페이지,30대,완료,2026.02.20,3,,N,010-2826-8036,기타 건의
C00129,2025-11-04,청소행정과,쓰레기 무단투기,마루동,국민신문고,30대,완료,2025-11-07,3,4,Y,010-4409-9884,상습 투기 지점 방치
C00035,2025년 09월 17일,환경관리과,소음,바다동,국민신문고,40대,완료,2025년 09월 22일,5,4,N,010-2584-1725,야간 공사 소음
C00383,2026/03/20,, 악취 ,마루동,국민신문고,20대 이하,완료,2026/03/28,8,3,N,010-8044-8414,음식물 쓰레기 악취
C00147,2025년 11월 16일,도로교통과,도로파손,나래동,국민신문고,30대,완료,2025년 11월 25일,9,,N,010-9190-9045,포트홀 발생
C00641,2026-07-23,도로교통과,도로파손,다솜동,국민신문고,40대,완료,2026-07-31,8,4,N,010-3791-9238,포트홀 발생
C00423,2026-03-04,환경관리과,악취,라온동,국민신문고,40대,완료,2026-03-09,5,3,N,010-9149-6535,음식물 쓰레기 악취
C00669,2026-07-18,건축과,건축 인허가,바다동,전화,30대,보류,,,,N,010-8000-2505,허가 처리 지연 문의
C00754,2026/08/14,,쓰레기 무단투기,다솜동,방문,60대 이상,완료,2026/08/20,6,,N,010-8788-7316,상습 투기 지점 방치
C00598,2026-06-11,환경관리과,공원 관리,,홈페이지,30대,완료,2026-06-15,4,,N,010-2996-2230,시설물 파손
C00166,2025/11/27,도로교통과,도로파손,가온동,홈페이지,60대 이상,완료,2025/12/03,6,,N,010-7695-9574,포트홀 발생
C00657,2026.07.25,환경관리과,소음,다솜동,전화,60대 이상,완료,2026.07.29,4,4,N,010-6405-6014,야간 공사 소음
C00021,2025년 09월 14일,복지정책과,복지 상담,나래동,전화,50대,완료,2025년 09월 18일,4,5,N,010-3536-5149,지원금 신청 문의
C00586,2026/06/15,건축과,건축 인허가,나래동,전화,60대 이상,처리중,,,,N,010-9710-8244,허가 처리 지연 문의
C00015,2025-09-05,청소행정과,쓰레기 무단투기,마루동,국민신문고,60대 이상,완료,2025-09-10,5,,N,010-8265-7384,상습 투기 지점 방치
C00294,2026년 01월 12일,도로교통과, 도로파손 ,가온동,국민신문고,30대,완료,2026년 01월 24일,12,,N,010-8469-1005,포트홀 발생
C00371,2026년 03월 11일,청소행정과,쓰레기 무단투기,다솜동,앱,50대,보류,,,,N,010-3726-1533,상습 투기 지점 방치
C00246,2026-01-28,환경관리과,소음,라온동,홈페이지,60대 이상,완료,2026-02-03,6,,N,010-7270-9551,야간 공사 소음
C00462,2026년 04월 28일,환경관리과,소음,마루동,앱,30대,완료,2026년 05월 04일,6,5,Y,010-6349-4782,야간 공사 소음
C00088,2025-10-15,환경관리과,소음,마루동,홈페이지,40대,완료,2025-10-22,7,5,N,010-9884-3363,야간 공사 소음
C00575,2026-06-30,환경관리과,공원 관리,가온동,국민신문고,60대 이상,완료,2026-07-11,11,3,N,010-6201-2947,시설물 파손
C00677,2026/07/13,청소행정과,쓰레기 무단투기,마루동,전화,30대,완료,2026/07/22,9,,N,010-3356-5918,상습 투기 지점 방치
C00046,2025-09-26,도로교통과,가로등 고장,나래동,국민신문고,40대,완료,2025-10-02,6,3,N,010-4174-6402,야간 점등 불량
C00011,2025-09-16,환경관리과,소음,라온동,전화,40대,완료,2025-09-27,11,3,N,010-9546-3089,야간 공사 소음
C00555,2026-05-21,건축과,건축 인허가,가온동,전화,40대,완료,2026-06-17,27,2,N,010-5598-3542,허가 처리 지연 문의
C00059,2025-09-16,환경관리과,공원 관리,바다동,전화,30대,완료,2025-09-17,1,5,N,010-2012-2402,시설물 파손
C00557,2026-05-08,환경관리과,소음,마루동,전화,30대,완료,2026-05-16,8,3,N,010-2389-8177,야간 공사 소음
C00141,2025-11-12,도로교통과,도로파손,,전화,40대,완료,2025-11-18,6,5,N,010-8308-5433,포트홀 발생
C00629,2026.07.24,청소행정과,쓰레기 무단투기,,방문,40대,완료,2026.08.01,8,4,N,010-9189-4855,상습 투기 지점 방치
C00426,2026.03.23,환경관리과,소음,가온동,앱,40대,완료,2026.04.03,11,3,N,010-7937-4504,야간 공사 소음
C00478,2026-04-12,환경관리과,공원 관리,마루동,홈페이지,60대 이상,완료,2026-04-19,7,,Y,010-9910-2849,시설물 파손
C00592,2026-06-04,환경관리과,악취,마루동,국민신문고,40대,처리중,,,,N,010-2178-4099,음식물 쓰레기 악취
C00331,2026-02-05,도로교통과,가로등 고장,마루동,전화,30대,완료,2026-02-18,13,,N,010-3869-9906,야간 점등 불량
C00256,2026-01-30,도로교통과,불법주정차,나래동,국민신문고,40대,완료,2026-01-31,1,,N,010-3684-8433,이면도로 상시 주차
C00723,2026-08-24,청소행정과,쓰레기 무단투기,가온동,국민신문고,50대,완료,2026-09-19,26,2,N,010-4077-3536,상습 투기 지점 방치
C00719,2026/08/15,환경관리과,공원 관리,마루동,홈페이지,50대,완료,2026/08/21,6,,N,010-2619-3339,시설물 파손
C00510,2026.05.16,청소행정과,쓰레기 무단투기,마루동,국민신문고,40대,완료,2026.05.24,8,,N,010-3814-1612,상습 투기 지점 방치
C00635,2026/07/10,환경관리과,소음,새벽동,앱,40대,완료,2026/07/13,3,5,N,010-3532-3489,야간 공사 소음
C00037,2025-09-25,청소행정과,쓰레기 무단투기,가온동,앱,30대,완료,2025-09-30,5,3,Y,010-7464-9473,상습 투기 지점 방치
C00455,2026년 04월 29일,주민생활지원과,기타,바다동,앱,30대,완료,2026년 05월 08일,9,4,N,010-6686-3783,기타 건의
C00499,2026-05-28,환경관리과,악취,새벽동,전화,60대 이상,완료,2026-06-07,10,2,N,010-3250-3743,음식물 쓰레기 악취
C00432,2026/04/14,복지정책과,복지 상담,다솜동,홈페이지,40대,완료,2026/04/16,2,,N,010-9663-5509,지원금 신청 문의
C00573,2026.06.24,환경관리과, 악취 ,라온동,홈페이지,40대,완료,2026.07.01,7,,N,010-2525-3496,음식물 쓰레기 악취
C00643,2026.07.07,환경관리과,소음,가온동,방문,40대,처리중,,,,N,010-9149-2478,야간 공사 소음
C93605,2026-02-10,환경관리과,소음,나래동,방문,50대,완료,2026-02-19,9,,N,010-5221-5419,야간 공사 소음
C00634,2026-07-02,도로교통과,불법주정차,마루동,전화,60대 이상,완료,2026-07-07,5,,N,010-4017-9075,이면도로 상시 주차
C00674,2026-07-10,환경관리과,소음,마루동,홈페이지,40대,완 료,2026-07-14,4,5,N,010-7952-5729,야간 공사 소음
C00636,2026.07.21,도로교통과,도로파손,라온동,국민신문고,20대 이하,완료,2026.07.24,3,5,N,010-2496-3767,포트홀 발생
C00068,2025/10/28,환경관리과,공원 관리,가온동,방문,20대 이하,완료,2025/11/13,16,,N,010-3851-9080,시설물 파손
C00624,2026-06-19,도로교통과,불법주정차,바다동,앱,20대 이하,완료,2026-06-27,8,,N,010-7099-9176,이면도로 상시 주차
C00390,2026/03/19,청소행정과,쓰레기 무단투기,가온동,방문,50대,완료,2026/03/31,12,4,Y,010-3498-6036,상습 투기 지점 방치
C00528,2026-05-02,환경관리과,소음,나래동,홈페이지,60대 이상,완료,2026-05-07,5,5,N,010-2053-1468,야간 공사 소음
C00419,2026.03.05,도로교통과,도로파손,다솜동,방문,50대,처리중,,,,N,010-4866-9026,포트홀 발생
C00525,2026년 05월 07일,환경관리과,악취,나래동,앱,40대,완료,2026년 05월 11일,4,5,N,010-8156-2810,음식물 쓰레기 악취
C00622,2026.06.27,도로교통과,불법주정차,바다동,앱,30대,완료,2026.07.05,8,,N,010-6169-2909,이면도로 상시 주차
C00071,2025-10-16,환경관리과,공원 관리,가온동,국민신문고,40대,완료,2025-10-30,14,4,Y,010-4719-4012,시설물 파손
C00578,2026-06-21,복지정책과,복지 상담,새벽동,국민신문고,40대,완료,2026-06-27,6,,N,010-5355-8966,지원금 신청 문의
C00324,2026-02-03,도로교통과,도로파손,다솜동,전화,40대,완료,2026-02-04,1,4,Y,010-6253-2904,포트홀 발생
C00258,2026.01.21,도로교통과,가로등 고장,라온동,전화,30대,완료,2026.01.23,2,5,N,010-4218-4455,야간 점등 불량
C00587,2026.06.12,청소행정과,쓰레기 무단투기,가온동,국민신문고,40대,완료,2026.06.19,7,3,N,010-6843-2112,상습 투기 지점 방치
C00125,2025.11.06,도로교통과,불법주정차,라온동,앱,30대,완료,2025-08-15,6,3,N,010-9375-7826,이면도로 상시 주차
C00447,2026.04.24,청소행정과,쓰레기 무단투기,가온동,전화,40대,완료,2026.05.01,7,,Y,010-4741-4275,상습 투기 지점 방치
C00663,2026/07/11,복지정책과,복지 상담,나래동,홈페이지,50대,완료,2026/07/14,3,4,N,010-6084-1798,지원금 신청 문의
C00218,2025-12-29,환경관리과,악취,바다동,국민신문고,40대,완료,2026-01-02,4,4,N,010-2947-4689,음식물 쓰레기 악취
C00240,2025-12-15,환경관리과,소음,바다동,전화,40대,완료,2025-12-23,8,3,N,010-2571-4716,야간 공사 소음
C00116,2025-10-25,환경관리과,악취,새벽동,방문,60대 이상,완료,2025-11-02,8,5,N,010-7257-7670,음식물 쓰레기 악취
C00334,2026/02/02,청소행정과,쓰레기 무단투기,마루동,국민신문고,40대,완료,2026/02/09,7,,Y,010-4442-4984,상습 투기 지점 방치
C00172,2025-11-06,복지정책과,복지 상담,다솜동,전화,40대,완료,2025-11-09,3,5,N,010-8608-8705,지원금 신청 문의
C00279,2026.01.11,환경관리과,소음,나래동,전화,40대,완료,2026.01.19,8,,N,010-3154-3539,야간 공사 소음
C97333,2026-05-22,주민생활지원과,기타,나래동,국민신문고,50대,완료,2026-06-01,10,4,N,010-8923-9148,기타 건의
C00417,2026-03-30,건축과,건축 인허가,가온동,전화,30대,완료,2026-04-28,29,,N,010-5270-1149,허가 처리 지연 문의
C00227,2025-12-29,도로교통과,가로등 고장,라온동,홈페이지,50대,완료,2025-12-30,1,4,N,010-2589-7281,야간 점등 불량
